;;;;;;Entwicklungskosten;;;;;;
;;;;;;Hardwareentwicklung;;;;230 h;;
;;;;;;Messungen;;;;85 h;;
;;;;;;Optimierungsarbeiten;;;;67 h;;
;;;;;;Dokumentation;;;;86 h;;
;;;;;;Gesamtarbeitszeit;;;;468 h;;
;;;;;;Stundenlohn (Techniker);;;;70,00 €;;
;;;;;;Gesamtentwicklungskosten;;;;32.760,00 €;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;Gesamtbetriebskosten;;;;;;
;;;;;;Bürofläche für 2 Personen;;;;20 m²;;
;;;;;;monatliche Miete;;;;5 € / m²;;
;;;;;;Dauer des Mietverhältnisses;;;;9 Monate;;
;;;;;;Gesamtmietkosten;;;;900,00 €;;
;;;;;;;;;;;;
;;;;;;Wasser;;;;25 € / Monat;;
;;;;;;Heizung;;;;85 € / Monat;;
;;;;;;Strom;;;;50 € / Monat;;
;;;;;;Internet & Telefon;;;;40 € / Monat;;
;;;;;;Betriebskosten;;;;1.800,00 €;;
;;;;;;;;;;;;
300;€ 116 676,90;300;€ 97 460,28;;;;;;;;;
310;€ 119 384,13;310;€ 100 708,96;;;;;;;;;
320;€ 122 091,36;320;€ 103 957,63;;;;;;;;;
330;€ 124 798,59;330;€ 107 206,31;;;;;;;;;
340;€ 127 505,82;340;€ 110 454,98;;;;;;;;;
350;€ 130 213,05;350;€ 113 703,66;;;;;;;;;
360;€ 132 920,28;360;€ 116 952,34;;;;;;;;;
370;€ 135 627,51;370;€ 120 201,01;;;;;;;;;
380;€ 138 334,74;380;€ 123 449,69;;;;;;;;;
390;€ 141 041,97;390;€ 126 698,36;;;;;;;;;
400;€ 143 749,20;400;€ 129 947,04;;;;;;;;;
410;€ 146 456,43;410;€ 133 195,72;;;;;;;;;
420;€ 149 163,66;420;€ 136 444,39;;;;;;;;;
430;€ 151 870,89;430;€ 139 693,07;;;;;;;;;
440;€ 154 578,12;440;€ 142 941,74;;;;;;;;;
450;€ 157 285,35;450;€ 146 190,42;;;;;;;;;
460;€ 159 992,58;460;€ 149 439,10;;;;;;;;;
470;€ 162 699,81;470;€ 152 687,77;;;;;;;;;
480;€ 165 407,04;480;€ 155 936,45;;;;;;;;;
490;€ 168 114,27;490;€ 159 185,12;;;;;;;;;
500;€ 170 821,50;500;€ 162 433,80;;;;;;;;;
510;€ 173 528,73;510;€ 165 682,48;;;;;;;;;
520;€ 176 235,96;520;€ 168 931,15;;;;;;;;;
530;€ 178 943,19;530;€ 172 179,83;;;;;;;;;
540;€ 181 650,42;540;€ 175 428,50;;;;;;;;;
550;€ 184 357,65;550;€ 178 677,18;;;;;;;;;
560;€ 187 064,88;560;€ 181 925,86;;;;;;;;;
570;€ 189 772,11;570;€ 185 174,53;;;;;;;;;
580;€ 192 479,34;580;€ 188 423,21;;;;;;;;;
590;€ 195 186,57;590;€ 191 671,88;;;;;;;;;
600;€ 197 893,80;600;€ 194 920,56;;;;;;;;;
610;€ 200 601,03;610;€ 198 169,24;;;;;;;;;
620;€ 203 308,26;620;€ 201 417,91;;;;;;;;;
630;€ 206 015,49;630;€ 204 666,59;;;;;;;;;
640;€ 208 722,72;640;€ 207 915,26;;;;;;;;;
650;€ 211 429,95;650;€ 211 163,94;;;;;;;;;
660;€ 214 137,18;660;€ 214 412,62;;;;;;;;;
670;€ 216 844,41;670;€ 217 661,29;;;;;;;;;
680;€ 219 551,64;680;€ 220 909,97;;;;;;;;;
690;€ 222 258,87;690;€ 224 158,64;;;;;;;;;
700;€ 224 966,10;700;€ 227 407,32;;;;;;;;;
710;€ 227 673,33;710;€ 230 656,00;;;;;;;;;
720;€ 230 380,56;720;€ 233 904,67;;;;;;;;;
730;€ 233 087,79;730;€ 237 153,35;;;;;;;;;
740;€ 235 795,02;740;€ 240 402,02;;;;;;;;;
750;€ 238 502,25;750;€ 243 650,70;;;;;;;;;
760;€ 241 209,48;760;€ 246 899,38;;;;;;;;;
770;€ 243 916,71;770;€ 250 148,05;;;;;;;;;
780;€ 246 623,94;780;€ 253 396,73;;;;;;;;;
790;€ 249 331,17;790;€ 256 645,40;;;;;;;;;
800;€ 252 038,40;800;€ 259 894,08;;;;;;;;;
810;€ 254 745,63;810;€ 263 142,76;;;;;;;;;
820;€ 257 452,86;820;€ 266 391,43;;;;;;;;;
830;€ 260 160,09;830;€ 269 640,11;;;;;;;;;
840;€ 262 867,32;840;€ 272 888,78;;;;;;;;;
850;€ 265 574,55;850;€ 276 137,46;;;;;;;;;
860;€ 268 281,78;860;€ 279 386,14;;;;;;;;;
870;€ 270 989,01;870;€ 282 634,81;;;;;;;;;
880;€ 273 696,24;880;€ 285 883,49;;;;;;;;;
890;€ 276 403,47;890;€ 289 132,16;;;;;;;;;
900;€ 279 110,70;900;€ 292 380,84;;;;;;;;;
910;€ 281 817,93;910;€ 295 629,52;;;;;;;;;
920;€ 284 525,16;920;€ 298 878,19;;;;;;;;;
930;€ 287 232,39;930;€ 302 126,87;;;;;;;;;
940;€ 289 939,62;940;€ 305 375,54;;;;;;;;;
950;€ 292 646,85;950;€ 308 624,22;;;;;;;;;
960;€ 295 354,08;960;€ 311 872,90;;;;;;;;;
970;€ 298 061,31;970;€ 315 121,57;;;;;;;;;
980;€ 300 768,54;980;€ 318 370,25;;;;;;;;;
990;€ 303 475,77;990;€ 321 618,92;;;;;;;;;
1000;€ 306 183,00;1000;€ 324 867,60;;;;;;;;;
